Individual,Class,Amount,Unit
IcebergLettuceVitaminA,SubstancePortion,0.025,mg/100g
IcebergLettuceVitaminC,SubstancePortion,2.8,mg/100g
BostonLettuceCalcium,SubstancePortion,36,mg/100g
BostonLettuceCarbohydrate,SubstancePortion,2.23,g/100g
BostonLettuceFat,SubstancePortion,0.22,g/100g
BostonLettuceFoodEnergy,SubstancePortion,13,cal/100g
BostonLettuceIron,SubstancePortion,0.86,mg/100g
BostonLettucePotassium,SubstancePortion,238,mg/100g
BostonLettuceProtein,SubstancePortion,1.35,g/100g
BostonLettuceSodium,SubstancePortion,28,mg/100g
BostonLettuceVitaminA,SubstancePortion,0.370,mg/100g
BostonLettuceVitaminC,SubstancePortion,3.7,mg/100g
ChivesCalcium,SubstancePortion,92,mg/100g
ChivesCarbohydrate,SubstancePortion,4.35,g/100g
ChivesFat,SubstancePortion,0.73,g/100g
ChivesFoodEnergy,SubstancePortion,30,cal/100g
ChivesIron,SubstancePortion,1.6,mg/100g
ChivesPotassium,SubstancePortion,296,mg/100g
ChivesProtein,SubstancePortion,3.27,g/100g
ChivesSodium,SubstancePortion,3,mg/100g
ChivesVitaminA,SubstancePortion,0.435,mg/100g
ChivesVitaminC,SubstancePortion,58.1,mg/100g
CarrotsCalcium,SubstancePortion,33,mg/100g
CarrotsCarbohydrate,SubstancePortion,9.58,g/100g
CarrotsFat,SubstancePortion,0.24,g/100g
CarrotsFoodEnergy,SubstancePortion,41,cal/100g
CarrotsIron,SubstancePortion,0.3,mg/100g
CarrotsPotassium,SubstancePortion,320,mg/100g
CarrotsProtein,SubstancePortion,0.93,g/100g
CarrotsSodium,SubstancePortion,69,mg/100g
CarrotsVitaminA,SubstancePortion,0.835,mg/100g
CarrotsVitaminC,SubstancePortion,5.9,mg/100g
RadishesCalcium,SubstancePortion,25,mg/100g
RadishesCarbohydrate,SubstancePortion,3.4,g/100g
RadishesFat,SubstancePortion,0.1,g/100g
RadishesFoodEnergy,SubstancePortion,16,cal/100g
RadishesIron,SubstancePortion,0.34,mg/100g
RadishesPotassium,SubstancePortion,233,mg/100g
RadishesProtein,SubstancePortion,0.68,g/100g
RadishesSodium,SubstancePortion,39,mg/100g
RadishesVitaminA,SubstancePortion,0.007,mg/100g
RadishesVitaminC,SubstancePortion,14.8,mg/100g
RedOnionCalcium,SubstancePortion,23,mg/100g
RedOnionCarbohydrate,SubstancePortion,10.11,g/100g
RedOnionFat,SubstancePortion,0.08,g/100g
RedOnionFoodEnergy,SubstancePortion,42,cal/100g
RedOnionIron,SubstancePortion,0.21,mg/100g
RedOnionPotassium,SubstancePortion,146,mg/100g
RedOnionProtein,SubstancePortion,0.92,g/100g
RedOnionSodium,SubstancePortion,4,mg/100g
RedOnionVitaminC,SubstancePortion,7.4,mg/100g
WhiteOnionCalcium,SubstancePortion,23,mg/100g
WhiteOnionCarbohydrate,SubstancePortion,9.34,g/100g
WhiteOnionFat,SubstancePortion,0.1,g/100g
WhiteOnionFoodEnergy,SubstancePortion,40,cal/100g
WhiteOnionIron,SubstancePortion,0.21,mg/100g
WhiteOnionPotassium,SubstancePortion,146,mg/100g
WhiteOnionProtein,SubstancePortion,1.1,g/100g
WhiteOnionSodium,SubstancePortion,4,mg/100g
WhiteOnionVitaminC,SubstancePortion,7.4,mg/100g
GreenOnionsCalcium,SubstancePortion,72,mg/100g
GreenOnionsCarbohydrate,SubstancePortion,7.34,g/100g
GreenOnionsFat,SubstancePortion,0.19,g/100g
GreenOnionsFoodEnergy,SubstancePortion,32,cal/100g
GreenOnionsIron,SubstancePortion,1.48,mg/100g
GreenOnionsPotassium,SubstancePortion,276,mg/100g
GreenOnionsProtein,SubstancePortion,1.83,g/100g
GreenOnionsSodium,SubstancePortion,16,mg/100g
GreenOnionsVitaminA,SubstancePortion,0.050,mg/100g
